Designator,Mid X,Mid Y,Rotation,Layer
C1,144.2,-113.75,0.0,top
C2,161.25,-113.766,0.0,top
C3,112.014,-115.951,180.0,top
C4,112.014,-118.491,180.0,top
C5,115.824,-118.872,-90.0,top
C6,117.532666,-118.872,-90.0,top
D1,168.55,-110.5,90.0,top
D2,112.522,-111.76,-90.0,top
D3,105.156,-117.983,90.0,top
D4,107.442,-117.983,90.0,top
D5,106.3,-127.0,90.0,top
J1,140.94,-103.109,90.0,top
J2,106.254,-110.744,-90.0,top
J3,165.354,-117.094,0.0,top
J4,125.115,-129.779,180.0,top
J5,116.84,-93.98,-90.0,bottom
Q1,108.966,-100.076,90.0,top
R1,113.9,-87.757,0.0,top
R2,168.55,-113.874,-90.0,top
R3,120.3,-116.2,180.0,top
R4,119.241332,-118.872,90.0,top
R5,120.95,-118.872,-90.0,top
R6,105.156,-121.92,-90.0,top
R7,107.442,-121.92,-90.0,top
R8,107.1,-130.1,0.0,top
SW1,107.95,-89.662,0.0,top
U1,118.11,-113.03,0.0,top
U2,140.1,-113.766,-90.0,top
U3,157.430666,-113.766,-90.0,top
